,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
0,cherskiy,68.75,161.3,2.17,93,99,4.9,RU,11-01-2020 46:23
1,chokurdakh,70.63,147.92,0.21,94,100,10.96,RU,11-01-2020 46:24
2,punta arenas,-53.15,-70.92,53.6,76,75,11.41,CL,11-01-2020 46:25
3,atuona,-9.8,-139.03,77.47,79,68,15.12,PF,11-01-2020 46:26
4,jamestown,42.1,-79.24,34.0,97,90,19.46,US,11-01-2020 46:27
5,mar del plata,-38.0,-57.56,60.8,67,0,8.05,AR,11-01-2020 46:28
6,taksimo,56.34,114.88,3.69,82,5,2.57,RU,11-01-2020 46:30
7,albany,42.6,-73.97,46.99,86,97,6.76,US,11-01-2020 46:31
8,ushuaia,-54.8,-68.3,59.0,54,75,18.34,AR,11-01-2020 46:32
9,iqaluit,63.75,-68.51,12.2,85,75,4.7,CA,11-01-2020 46:33
10,mecca,21.43,39.83,78.28,54,0,1.74,SA,11-01-2020 46:34
11,upernavik,72.79,-56.15,16.47,92,97,3.74,GL,11-01-2020 46:38
12,morondava,-20.28,44.28,74.75,85,2,3.0,MG,11-01-2020 46:39
13,hithadhoo,-0.6,73.08,83.34,74,100,9.42,MV,11-01-2020 46:40
14,quixada,-4.97,-39.02,79.93,68,3,10.29,BR,11-01-2020 46:41
15,hermanus,-34.42,19.23,64.0,83,13,7.0,ZA,11-01-2020 46:42
16,khatanga,71.97,102.5,5.32,95,99,6.17,RU,11-01-2020 46:46
17,constitucion,-35.33,-72.42,54.3,85,61,6.38,CL,11-01-2020 46:47
18,severo-kurilsk,50.68,156.12,42.73,71,1,8.97,RU,11-01-2020 46:48
19,souillac,-20.52,57.52,69.8,68,40,9.17,MU,11-01-2020 46:49
20,ukiah,39.15,-123.21,87.01,17,1,6.08,US,11-01-2020 46:50
21,tirumullaivasal,11.23,79.83,77.61,78,12,4.43,IN,11-01-2020 46:51
22,cape town,-33.93,18.42,66.99,72,0,8.05,ZA,11-01-2020 46:53
23,port macquarie,-31.43,152.92,64.0,80,100,5.99,AU,11-01-2020 46:54
24,maniitsoq,65.42,-52.9,23.77,96,100,8.55,GL,11-01-2020 46:55
25,port alfred,-33.59,26.89,64.87,86,26,18.48,ZA,11-01-2020 46:56
26,sakakah,29.97,40.21,69.8,32,0,9.17,SA,11-01-2020 46:57
27,bontang,0.13,117.5,76.64,85,100,8.72,ID,11-01-2020 46:58
28,maceio,-9.67,-35.74,77.0,83,0,10.29,BR,11-01-2020 46:59
29,rikitea,-23.12,-134.97,74.62,85,86,22.84,PF,11-01-2020 47:02
30,ereymentau,51.62,73.1,34.79,83,100,5.06,KZ,11-01-2020 47:04
31,dukat,62.55,155.55,13.66,95,100,5.17,RU,11-01-2020 47:05
32,gigmoto,13.78,124.39,80.1,81,100,5.88,PH,11-01-2020 47:06
33,arman,59.7,150.17,31.19,95,100,6.4,RU,11-01-2020 47:07
34,troitskoye,52.98,84.68,29.12,97,1,6.51,RU,11-01-2020 47:08
35,saint-philippe,-21.36,55.77,69.8,60,75,8.05,RE,11-01-2020 47:10
36,barrow,71.29,-156.79,28.4,79,90,19.46,US,11-01-2020 47:11
37,ballina,-28.87,153.57,75.99,64,40,17.22,AU,11-01-2020 47:12
38,vostok,46.49,135.88,29.16,99,71,3.47,RU,11-01-2020 47:13
39,hilo,19.73,-155.09,86.0,58,40,6.93,US,11-01-2020 47:14
40,hamilton,39.18,-84.53,39.99,50,9,4.0,US,11-01-2020 47:15
41,jibuti,11.5,42.5,80.6,69,1,15.59,DJ,11-01-2020 47:17
42,casma,-41.01,-73.12,73.4,60,0,11.41,CL,11-01-2020 47:18
43,cayenne,4.93,-52.33,80.6,94,97,2.24,GF,11-01-2020 47:19
44,thompson,55.74,-97.86,24.8,85,75,9.17,CA,11-01-2020 47:20
45,padang,-0.95,100.35,77.63,72,99,2.8,ID,11-01-2020 47:21
46,dikson,73.51,80.55,18.55,98,99,9.01,RU,11-01-2020 47:22
47,gat,31.61,34.76,73.99,70,100,1.68,IL,11-01-2020 47:23
48,bengkulu,-3.8,102.27,75.45,88,99,4.56,ID,11-01-2020 47:26
49,tuktoyaktuk,69.45,-133.04,12.2,92,90,17.22,CA,11-01-2020 47:27
50,la reforma,25.08,-108.05,96.01,28,0,8.99,MX,11-01-2020 47:28
51,manggar,-2.88,108.27,77.14,85,100,2.8,ID,11-01-2020 47:29
52,reggio di calabria,38.11,15.66,66.2,68,20,9.17,IT,11-01-2020 47:30
53,itoman,26.12,127.67,71.6,83,20,1.12,JP,11-01-2020 47:31
54,east london,-33.02,27.91,65.43,83,73,14.47,ZA,11-01-2020 47:32
55,gizo,-8.1,156.84,85.32,69,12,5.23,SB,11-01-2020 47:33
56,whyalla,-33.03,137.58,75.2,44,26,8.05,AU,11-01-2020 47:35
57,mataura,-46.19,168.86,53.01,72,50,13.0,NZ,11-01-2020 47:36
58,krasnoselkup,65.7,82.47,22.19,97,96,15.52,RU,11-01-2020 47:37
59,riyadh,24.69,46.72,62.6,48,0,6.82,SA,11-01-2020 47:38
60,saint-georges,12.06,-61.75,77.0,94,75,19.46,GD,11-01-2020 47:39
61,gazanjyk,39.24,55.52,66.54,26,2,8.59,TM,11-01-2020 47:40
62,poum,-20.23,164.02,78.84,77,1,15.79,NC,11-01-2020 47:41
63,ostrovnoy,68.05,39.51,38.35,91,100,22.55,RU,11-01-2020 47:42
64,bluff,-46.6,168.33,54.0,70,91,11.01,NZ,11-01-2020 47:44
65,salalah,17.02,54.09,75.2,53,0,4.7,OM,11-01-2020 47:46
66,vaini,-21.2,-175.2,78.8,78,75,12.75,TO,11-01-2020 47:47
67,northam,51.03,-4.22,62.01,95,100,21.0,GB,11-01-2020 47:48
68,turukhansk,65.82,87.98,20.8,98,100,8.3,RU,11-01-2020 47:49
69,lima,-12.04,-77.03,66.2,72,90,11.41,PE,11-01-2020 47:51
70,aguimes,27.91,-15.45,73.99,60,0,19.46,ES,11-01-2020 47:53
71,pokhara,28.23,83.98,65.62,44,13,4.97,NP,11-01-2020 47:54
72,busselton,-33.65,115.33,57.99,77,72,5.37,AU,11-01-2020 47:55
73,mount gambier,-37.83,140.77,60.8,82,56,9.17,AU,11-01-2020 47:56
74,lenart,46.58,15.83,51.8,93,100,1.7,SI,11-01-2020 47:57
75,portland,45.52,-122.68,66.99,39,1,10.29,US,11-01-2020 47:58
76,alice springs,-23.7,133.88,75.2,19,0,3.36,AU,11-01-2020 47:59
